,timestamp,path,method,controller_pod,service_name,le,count
0,2024-01-02 10:42:00,/home,GET,pod-2,process_log,+Inf,1
1,2024-01-02 10:42:00,/home,GET,pod-2,process_log,1,1
2,2024-01-02 10:42:00,/home,GET,pod-2,process_log,2,1
3,2024-01-02 10:42:00,/users,GET,pod-2,process_log,+Inf,2
4,2024-01-02 10:42:00,/users,GET,pod-2,process_log,0.5,2
5,2024-01-02 10:42:00,/users,GET,pod-2,process_log,1,2
6,2024-01-02 10:42:00,/users,GET,pod-2,process_log,2,2
7,2024-01-02 10:42:30,/home,GET,pod-1,process_log,+Inf,4
8,2024-01-02 10:42:30,/home,GET,pod-1,process_log,0.25,2
9,2024-01-02 10:42:30,/home,GET,pod-1,process_log,0.5,3
10,2024-01-02 10:42:30,/home,GET,pod-1,process_log,1,4
11,2024-01-02 10:42:30,/home,GET,pod-1,process_log,2,4
12,2024-01-02 10:42:30,/home,GET,pod-2,process_log,+Inf,3
13,2024-01-02 10:42:30,/home,GET,pod-2,process_log,0.5,2
14,2024-01-02 10:42:30,/home,GET,pod-2,process_log,1,3
15,2024-01-02 10:42:30,/home,GET,pod-2,process_log,2,3
16,2024-01-02 10:42:30,/users,GET,pod-1,process_log,+Inf,7
17,2024-01-02 10:42:30,/users,GET,pod-1,process_log,0.025,1
18,2024-01-02 10:42:30,/users,GET,pod-1,process_log,0.05,1
19,2024-01-02 10:42:30,/users,GET,pod-1,process_log,0.1,2
20,2024-01-02 10:42:30,/users,GET,pod-1,process_log,0.25,3
21,2024-01-02 10:42:30,/users,GET,pod-1,process_log,0.5,5
22,2024-01-02 10:42:30,/users,GET,pod-1,process_log,1,8
23,2024-01-02 10:42:30,/users,GET,pod-1,process_log,2,7
24,2024-01-02 10:42:30,/users,GET,pod-2,process_log,+Inf,6
25,2024-01-02 10:42:30,/users,GET,pod-2,process_log,0.05,1
26,2024-01-02 10:42:30,/users,GET,pod-2,process_log,0.1,2
27,2024-01-02 10:42:30,/users,GET,pod-2,process_log,0.25,2
28,2024-01-02 10:42:30,/users,GET,pod-2,process_log,0.5,4
29,2024-01-02 10:42:30,/users,GET,pod-2,process_log,1,6
30,2024-01-02 10:42:30,/users,GET,pod-2,process_log,2,6
31,2024-01-02 10:43:00,/home,GET,pod-1,process_log,+Inf,6
32,2024-01-02 10:43:00,/home,GET,pod-1,process_log,0.5,4
33,2024-01-02 10:43:00,/home,GET,pod-1,process_log,1,6
34,2024-01-02 10:43:00,/home,GET,pod-1,process_log,2,6
35,2024-01-02 10:43:00,/home,GET,pod-2,process_log,+Inf,7
36,2024-01-02 10:43:00,/home,GET,pod-2,process_log,0.25,1
37,2024-01-02 10:43:00,/home,GET,pod-2,process_log,0.5,3
38,2024-01-02 10:43:00,/home,GET,pod-2,process_log,1,7
39,2024-01-02 10:43:00,/home,GET,pod-2,process_log,2,7
40,2024-01-02 10:43:00,/users,GET,pod-1,process_log,+Inf,12
41,2024-01-02 10:43:00,/users,GET,pod-1,process_log,0.25,4
42,2024-01-02 10:43:00,/users,GET,pod-1,process_log,0.5,9
43,2024-01-02 10:43:00,/users,GET,pod-1,process_log,1,13
44,2024-01-02 10:43:00,/users,GET,pod-1,process_log,2,13
45,2024-01-02 10:43:00,/users,GET,pod-2,process_log,+Inf,13
46,2024-01-02 10:43:00,/users,GET,pod-2,process_log,0.25,5
47,2024-01-02 10:43:00,/users,GET,pod-2,process_log,0.5,9
48,2024-01-02 10:43:00,/users,GET,pod-2,process_log,1,13
49,2024-01-02 10:43:00,/users,GET,pod-2,process_log,2,13
50,2024-01-02 10:43:30,/home,GET,pod-1,process_log,+Inf,10
51,2024-01-02 10:43:30,/home,GET,pod-1,process_log,0.1,1
52,2024-01-02 10:43:30,/home,GET,pod-1,process_log,0.25,3
53,2024-01-02 10:43:30,/home,GET,pod-1,process_log,0.5,6
54,2024-01-02 10:43:30,/home,GET,pod-1,process_log,1,10
55,2024-01-02 10:43:30,/home,GET,pod-1,process_log,2,10
56,2024-01-02 10:43:30,/home,GET,pod-2,process_log,+Inf,14
57,2024-01-02 10:43:30,/home,GET,pod-2,process_log,0.25,2
58,2024-01-02 10:43:30,/home,GET,pod-2,process_log,0.5,6
59,2024-01-02 10:43:30,/home,GET,pod-2,process_log,1,14
60,2024-01-02 10:43:30,/home,GET,pod-2,process_log,2,14
61,2024-01-02 10:43:30,/users,GET,pod-1,process_log,+Inf,14
62,2024-01-02 10:43:30,/users,GET,pod-1,process_log,0.5,10
63,2024-01-02 10:43:30,/users,GET,pod-1,process_log,1,15
64,2024-01-02 10:43:30,/users,GET,pod-1,process_log,2,15
65,2024-01-02 10:43:30,/users,GET,pod-2,process_log,+Inf,19
66,2024-01-02 10:43:30,/users,GET,pod-2,process_log,0.05,2
67,2024-01-02 10:43:30,/users,GET,pod-2,process_log,0.1,3
68,2024-01-02 10:43:30,/users,GET,pod-2,process_log,0.25,6
69,2024-01-02 10:43:30,/users,GET,pod-2,process_log,0.5,13
70,2024-01-02 10:43:30,/users,GET,pod-2,process_log,1,19
71,2024-01-02 10:43:30,/users,GET,pod-2,process_log,2,19
72,2024-01-02 10:44:00,/home,GET,pod-1,process_log,+Inf,15
73,2024-01-02 10:44:00,/home,GET,pod-1,process_log,0.25,5
74,2024-01-02 10:44:00,/home,GET,pod-1,process_log,0.5,8
75,2024-01-02 10:44:00,/home,GET,pod-1,process_log,1,15
76,2024-01-02 10:44:00,/home,GET,pod-1,process_log,2,15
77,2024-01-02 10:44:00,/home,GET,pod-2,process_log,+Inf,15
78,2024-01-02 10:44:00,/home,GET,pod-2,process_log,1,15
79,2024-01-02 10:44:00,/home,GET,pod-2,process_log,2,15
80,2024-01-02 10:44:00,/users,GET,pod-1,process_log,+Inf,20
81,2024-01-02 10:44:00,/users,GET,pod-1,process_log,0.1,3
82,2024-01-02 10:44:00,/users,GET,pod-1,process_log,0.25,6
83,2024-01-02 10:44:00,/users,GET,pod-1,process_log,0.5,14
84,2024-01-02 10:44:00,/users,GET,pod-1,process_log,1,20
85,2024-01-02 10:44:00,/users,GET,pod-1,process_log,2,20
86,2024-01-02 10:44:00,/users,GET,pod-2,process_log,+Inf,24
87,2024-01-02 10:44:00,/users,GET,pod-2,process_log,0.05,3
88,2024-01-02 10:44:00,/users,GET,pod-2,process_log,0.1,4
89,2024-01-02 10:44:00,/users,GET,pod-2,process_log,0.25,8
90,2024-01-02 10:44:00,/users,GET,pod-2,process_log,0.5,16
91,2024-01-02 10:44:00,/users,GET,pod-2,process_log,1,24
92,2024-01-02 10:44:00,/users,GET,pod-2,process_log,2,24
93,2024-01-02 10:44:30,/home,GET,pod-1,process_log,+Inf,21
94,2024-01-02 10:44:30,/home,GET,pod-1,process_log,0.25,8
95,2024-01-02 10:44:30,/home,GET,pod-1,process_log,0.5,12
96,2024-01-02 10:44:30,/home,GET,pod-1,process_log,1,21
97,2024-01-02 10:44:30,/home,GET,pod-1,process_log,2,21
98,2024-01-02 10:44:30,/home,GET,pod-2,process_log,+Inf,19
